timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1575884527993,1902,HTTP Request-4,200,OK,GetRequest 1-1,text,false,"Value expected to match regexp 'true', but it did not match: 'initial'",1135,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=4&materialId=MAT-1139,1902,0,9
1575884529895,1937,HTTP Request-5,200,OK,GetRequest 1-1,text,true,,1214,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=5&materialId=MAT-1439,1937,0,0
1575884531832,2154,HTTP Request-6,200,OK,GetRequest 1-1,text,true,,1213,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=6&materialId=MAT-1739,2154,0,22
1575884533986,2156,HTTP Request-7,200,OK,GetRequest 1-1,text,true,,1213,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=7&materialId=MAT-2039,2156,0,10
1575884536143,1580,HTTP Request-8,200,OK,GetRequest 1-1,text,true,,1213,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=8&materialId=MAT-2339,1580,0,9
1575884537723,1652,HTTP Request-9,200,OK,GetRequest 1-1,text,true,,1213,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=9&materialId=MAT-2639,1652,0,0
1575884539375,1857,HTTP Request-10,200,OK,GetRequest 1-1,text,true,,1213,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=10&materialId=MAT-2939,1857,0,9
1575884541232,1753,HTTP Request-11,200,OK,GetRequest 1-1,text,true,,1213,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=11&materialId=MAT-3239,1753,0,0
1575884542985,1770,HTTP Request-12,200,OK,GetRequest 1-1,text,true,,1213,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=12&materialId=MAT-3539,1770,0,10
1575884544758,1817,HTTP Request-13,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=13&materialId=MAT-3839,1817,0,0
1575884546579,1762,HTTP Request-14,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=14&materialId=MAT-4139,1762,0,17
1575884548342,1564,HTTP Request-15,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=15&materialId=MAT-4439,1564,0,0
1575884549906,1735,HTTP Request-16,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=16&materialId=MAT-4739,1735,0,13
1575884551641,1714,HTTP Request-1,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=1&materialId=MAT-240,1714,0,11
1575884553355,1817,HTTP Request-2,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=2&materialId=MAT-540,1817,0,0
1575884555172,1744,HTTP Request-3,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=3&materialId=MAT-840,1744,0,11
1575884556917,1792,HTTP Request-4,200,OK,GetRequest 1-1,text,false,"Value expected to match regexp 'true', but it did not match: 'initial'",1135,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=4&materialId=MAT-1140,1792,0,0
1575884558709,2085,HTTP Request-5,200,OK,GetRequest 1-1,text,true,,1212,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=5&materialId=MAT-1440,2085,0,9
1575884560794,1741,HTTP Request-6,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=6&materialId=MAT-1740,1741,0,10
1575884562535,1783,HTTP Request-7,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=7&materialId=MAT-2040,1783,0,0
1575884564318,1991,HTTP Request-8,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=8&materialId=MAT-2340,1991,0,12
1575884566309,1773,HTTP Request-9,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=9&materialId=MAT-2640,1773,0,0
1575884568082,1525,HTTP Request-10,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=10&materialId=MAT-2940,1525,0,10
1575884569608,1942,HTTP Request-11,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=11&materialId=MAT-3240,1942,0,0
1575884571550,1839,HTTP Request-12,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=12&materialId=MAT-3540,1839,0,10
1575884573389,1868,HTTP Request-13,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=13&materialId=MAT-3840,1868,0,0
1575884575257,1740,HTTP Request-14,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=14&materialId=MAT-4140,1740,0,10
1575884576997,1693,HTTP Request-15,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=15&materialId=MAT-4440,1693,0,0
1575884578690,1842,HTTP Request-16,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=16&materialId=MAT-4740,1842,0,10
1575884580534,1836,HTTP Request-1,200,OK,GetRequest 1-1,text,true,,1212,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=1&materialId=MAT-241,1836,0,12
